"scenario" "age_class" "vectorial_capacity"
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 61.9555908096223
"Scenario 1" "12-day-old" 61.9555908096223
"Scenario 1" "12-day-old" 61.9555908096223
"Scenario 1" "12-day-old" 66.194716855914
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 74.7716074536181
"Scenario 1" "12-day-old" 74.7716074536181
"Scenario 1" "12-day-old" 79.103257817162
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 83.4602425550849
"Scenario 1" "12-day-old" 87.8403370210524
"Scenario 1" "12-day-old" 87.8403370210524
"Scenario 1" "12-day-old" 87.8403370210524
"Scenario 1" "12-day-old" 92.2415677221929
"Scenario 1" "12-day-old" 92.2415677221929
"Scenario 1" "12-day-old" 96.6621781338849
"Scenario 1" "12-day-old" 101.100599900376
"Scenario 1" "12-day-old" 101.100599900376
"Scenario 1" "12-day-old" 110.025402372734
"Scenario 1" "12-day-old" 110.025402372734
"Scenario 1" "12-day-old" 137.106721421987
"Scenario 1" "12-day-old" 1.66038802932686e-05
"Scenario 1" "12-day-old" 2.81669376995238
"Scenario 1" "12-day-old" 11.9839398116359
"Scenario 1" "12-day-old" 16.1587476169108
"Scenario 1" "12-day-old" 20.7534179933584
"Scenario 1" "12-day-old" 20.7534179933584
"Scenario 1" "12-day-old" 20.7534179933584
"Scenario 1" "12-day-old" 20.7534179933584
"Scenario 1" "12-day-old" 25.7019429454209
"Scenario 1" "12-day-old" 25.7019429454209
"Scenario 1" "12-day-old" 25.7019429454209
"Scenario 1" "12-day-old" 30.9497786055257
"Scenario 1" "12-day-old" 30.9497786055257
"Scenario 1" "12-day-old" 36.4520718265355
"Scenario 1" "12-day-old" 36.4520718265355
"Scenario 1" "12-day-old" 48.0788672596406
"Scenario 1" "12-day-old" 48.0788672596406
"Scenario 1" "12-day-old" 48.0788672596406
"Scenario 1" "12-day-old" 48.0788672596406
"Scenario 1" "12-day-old" 48.0788672596406
"Scenario 1" "12-day-old" 48.0788672596406
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 54.1476505627016
"Scenario 1" "12-day-old" 60.3572083732737
"Scenario 1" "12-day-old" 66.6898772569268
"Scenario 1" "12-day-old" 66.6898772569268
"Scenario 1" "12-day-old" 66.6898772569268
"Scenario 1" "12-day-old" 73.1307585886479
"Scenario 1" "12-day-old" 73.1307585886479
"Scenario 1" "12-day-old" 73.1307585886479
"Scenario 1" "12-day-old" 73.1307585886479
"Scenario 1" "12-day-old" 73.1307585886479
"Scenario 1" "12-day-old" 79.6672142159126
"Scenario 1" "12-day-old" 79.6672142159126
"Scenario 1" "12-day-old" 79.6672142159126
"Scenario 1" "12-day-old" 79.6672142159126
"Scenario 1" "12-day-old" 79.6672142159126
"Scenario 1" "12-day-old" 79.6672142159126
"Scenario 1" "12-day-old" 86.2884643053326
"Scenario 1" "12-day-old" 86.2884643053326
"Scenario 1" "12-day-old" 86.2884643053326
"Scenario 1" "12-day-old" 86.2884643053326
"Scenario 1" "12-day-old" 86.2884643053326
"Scenario 1" "12-day-old" 92.9852653328835
"Scenario 1" "12-day-old" 92.9852653328835
"Scenario 1" "12-day-old" 92.9852653328835
"Scenario 1" "12-day-old" 92.9852653328835
"Scenario 1" "12-day-old" 92.9852653328835
"Scenario 1" "12-day-old" 99.7496509862259
"Scenario 1" "12-day-old" 99.7496509862259
"Scenario 1" "12-day-old" 99.7496509862259
"Scenario 1" "12-day-old" 106.574722591201
"Scenario 1" "12-day-old" 113.454478678178
"Scenario 1" "12-day-old" 113.454478678178
"Scenario 1" "12-day-old" 113.454478678178
"Scenario 1" "12-day-old" 113.454478678178
"Scenario 1" "12-day-old" 113.454478678178
"Scenario 1" "12-day-old" 113.454478678178
"Scenario 1" "12-day-old" 120.383675624947
"Scenario 1" "12-day-old" 120.383675624947
"Scenario 1" "12-day-old" 127.35771309778
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 134.372539383524
"Scenario 1" "12-day-old" 141.424572760294
"Scenario 1" "12-day-old" 141.424572760294
"Scenario 1" "12-day-old" 141.424572760294
"Scenario 1" "12-day-old" 148.510635867942
"Scenario 1" "12-day-old" 148.510635867942
"Scenario 1" "12-day-old" 155.627900669231
"Scenario 1" "12-day-old" 162.773842082292
"Scenario 1" "12-day-old" 162.773842082292
"Scenario 1" "12-day-old" 177.142939690839
"Scenario 1" "12-day-old" 177.142939690839
"Scenario 1" "12-day-old" 220.744365940012
"Scenario 1" "12-day-old" 5.86698008902059e-06
"Scenario 1" "12-day-old" 0.995278571833515
"Scenario 1" "12-day-old" 4.23452440158781
"Scenario 1" "12-day-old" 5.70969248497647
"Scenario 1" "12-day-old" 7.33321898228323
"Scenario 1" "12-day-old" 7.33321898228323
"Scenario 1" "12-day-old" 7.33321898228323
"Scenario 1" "12-day-old" 7.33321898228323
"Scenario 1" "12-day-old" 9.08177997230329
"Scenario 1" "12-day-old" 9.08177997230329
"Scenario 1" "12-day-old" 9.08177997230329
"Scenario 1" "12-day-old" 10.9361023827563
"Scenario 1" "12-day-old" 10.9361023827563
"Scenario 1" "12-day-old" 12.8803373568367
"Scenario 1" "12-day-old" 12.8803373568367
"Scenario 1" "12-day-old" 16.9886648140515
"Scenario 1" "12-day-old" 16.9886648140515
"Scenario 1" "12-day-old" 16.9886648140515
"Scenario 1" "12-day-old" 16.9886648140515
"Scenario 1" "12-day-old" 16.9886648140515
"Scenario 1" "12-day-old" 16.9886648140515
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 19.1330690240767
"Scenario 1" "12-day-old" 21.3272158977457
"Scenario 1" "12-day-old" 23.5648640615798
"Scenario 1" "12-day-old" 23.5648640615798
"Scenario 1" "12-day-old" 23.5648640615798
"Scenario 1" "12-day-old" 25.8407490873392
"Scenario 1" "12-day-old" 25.8407490873392
"Scenario 1" "12-day-old" 25.8407490873392
"Scenario 1" "12-day-old" 25.8407490873392
"Scenario 1" "12-day-old" 25.8407490873392
"Scenario 1" "12-day-old" 28.1504052846003
"Scenario 1" "12-day-old" 28.1504052846003
"Scenario 1" "12-day-old" 28.1504052846003
"Scenario 1" "12-day-old" 28.1504052846003
"Scenario 1" "12-day-old" 28.1504052846003
